id;eventId;typeId;periodId;timeMin;timeSec;team_name;outcome;x;y;end_x;end_y;cross;ThrowIn;playerName;assist;keyPass;lb;shortName;shorter name;pro;x1_bin_xT;y1_bin_xT;x2_bin_xT;y2_bin_xT;start_zone_value_xT;end_zone_value_xT;xT
2847231513;63;Foul;1;6;6;3kq9cckrnlogidldtdie2fkbl;Successful;66.72;27.52;0.0;0.0;0;0;K. Mbappé;;;0;K. Mbappé;KM;0.0;1.0;4.0;0.0;5.0;0.01082722;0.0088799;-0.0019473200000000006
2847231527;43;Foul;1;6;6;27xvwccz8kpmqsefjv2b2sc0o;Unsuccessful;53.279999999999994;52.48;0.0;0.0;0;0;L. Balerdi;;;0;L. Balerdi;LB;0.0;;;;;;;
2847231961;64;Pass;1;6;29;3kq9cckrnlogidldtdie2fkbl;Successful;63.84;23.040000000000003;72.12;77.12;0;0;A. Güler;;;Long ball;A. Güler;AG;-1.9186913887576438;6.0;2.0;7.0;7.0;0.01685596;0.0174506;0.0005946400000000004
2847231985;65;Pass;1;6;34;3kq9cckrnlogidldtdie2fkbl;Successful;71.52;74.24;53.76;58.64;0;0;Rodrygo;;;0;Rodrygo;RO;-9.460459813789498;7.0;7.0;5.0;5.0;0.0174506;0.01429128;-0.00315932
2847232059;66;Pass;1;6;38;3kq9cckrnlogidldtdie2fkbl;Successful;48.6;56.24;43.559999999999995;32.72;0;0;Dean Huijsen;;;0;D. Huijsen;DH;-3.5622704418572653;4.0;5.0;4.0;3.0;0.01269174;0.01262646;-6.527999999999916e-05
2847232071;67;Pass;1;6;40;3kq9cckrnlogidldtdie2fkbl;Successful;43.8;23.840000000000003;52.32;5.120000000000001;0;0;Éder Militão;;;0;É. Militão;ÉM;1.755383496275499;4.0;2.0;5.0;0.0;0.01269174;0.01248344;-0.0002082999999999998
2847232083;68;Pass;1;6;40;3kq9cckrnlogidldtdie2fkbl;Successful;52.32;5.120000000000001;49.08;20.880000000000003;0;0;Dani Carvajal;;;0;D. Carvajal;DC;2.6871581766085626;5.0;0.0;4.0;2.0;0.01248344;0.01269174;0.0002082999999999998
2847232115;69;Pass;1;6;42;3kq9cckrnlogidldtdie2fkbl;Successful;49.08;20.880000000000003;53.52;11.520000000000001;0;0;F. Valverde;;;0;F. Valverde;FV;1.128582766173139;4.0;2.0;5.0;1.0;0.01269174;0.0138454;0.0011536600000000008
2847232129;70;Pass;1;6;43;3kq9cckrnlogidldtdie2fkbl;Unsuccessful;53.279999999999994;11.440000000000001;62.4;21.12;0;0;A. Güler;;;0;A. Güler;AG;0.0;2.0;6.0;2.0;5.0;0.00942382;0.01001304;0.0005892200000000014
2847232155;45;Pass;1;6;44;27xvwccz8kpmqsefjv2b2sc0o;Successful;58.32;59.68;65.28;63.120000000000005;0;0;F. Medina;;;0;F. Medina;FM;5.339719625439081;5.0;5.0;6.0;6.0;0.01429128;0.01611813;0.0018268500000000014
2847232161;46;Ball recovery;1;6;45;27xvwccz8kpmqsefjv2b2sc0o;Successful;65.52;65.67999999999999;0.0;0.0;0;0;P. Højbjerg;;;0;P. Højbjerg;PH;0.0;;;;;;;
2847232179;47;Pass;1;6;46;27xvwccz8kpmqsefjv2b2sc0o;Successful;66.47999999999999;67.04;64.92;76.24;0;0;P. Højbjerg;;;0;P. Højbjerg;PH;-5.969953079503384;6.0;6.0;6.0;7.0;0.01611813;0.01473596;-0.001382170000000002
2847232215;48;Pass;1;6;46;27xvwccz8kpmqsefjv2b2sc0o;Successful;67.55999999999999;75.76;78.96;75.28;0;0;Emerson;;;0;Emerson;EM;9.352419903859143;6.0;7.0;7.0;7.0;0.01473596;0.0174506;0.002714640000000001
2847232283;49;Pass;1;6;48;27xvwccz8kpmqsefjv2b2sc0o;Successful;79.44;75.28;75.47999999999999;69.92;0;0;T. Weah;;;0;T. Weah;TW;0.11690493226714693;8.0;7.0;7.0;7.0;0.02122129;0.0174506;-0.00377069
2847232327;50;Pass;1;6;52;27xvwccz8kpmqsefjv2b2sc0o;Successful;107.28;70.48;106.55999999999999;55.760000000000005;0;0;Emerson;;;0;Emerson;EM;12.315111921437634;10.0;7.0;10.0;5.0;0.03485072;0.05491138;0.02006066
2847232337;51;Dispossessed;1;6;54;27xvwccz8kpmqsefjv2b2sc0o;Successful;106.08;58.400000000000006;0.0;0.0;0;0;P. Aubameyang;;;0;P. Aubameyang;PA;0.0;3.0;2.0;2.0;5.0;0.01110462;0.01001304;-0.00109158
2847232361;71;Tackle;1;6;54;3kq9cckrnlogidldtdie2fkbl;Successful;13.92;21.6;0.0;0.0;0;0;Dani Carvajal;;;0;D. Carvajal;DC;0.0;;;;;;;
2847232363;72;Ball recovery;1;6;56;3kq9cckrnlogidldtdie2fkbl;Successful;15.0;20.400000000000002;0.0;0.0;0;0;Dani Carvajal;;;0;D. Carvajal;DC;0.0;;;;;;;
2847232403;73;Pass;1;6;56;3kq9cckrnlogidldtdie2fkbl;Successful;15.0;20.400000000000002;32.76;18.56;0;0;Dani Carvajal;;;0;D. Carvajal;DC;16.977756896420175;1.0;2.0;3.0;1.0;0.00977745;0.0105949;0.0008174500000000008
2847232445;52;Deleted event;1;7;0;27xvwccz8kpmqsefjv2b2sc0o;Successful;0.0;0.0;0.0;0.0;0;0;P. Højbjerg;;;0;P. Højbjerg;PH;0.0;3.0;5.0;4.0;4.0;0.01110462;0.01262646;0.00152184
2847232427;74;Deleted event;1;7;0;3kq9cckrnlogidldtdie2fkbl;Successful;0.0;0.0;0.0;0.0;0;0;A. Güler;;;0;A. Güler;AG;0.0;1.0;4.0;1.0;4.0;0.01082722;0.01082722;0.0
2847350497;786;Take On;1;7;1;3kq9cckrnlogidldtdie2fkbl;Unsuccessful;53.04;14.8;0.0;0.0;0;0;A. Güler;;;0;A. Güler;AG;0.0;8.0;4.0;8.0;5.0;0.02385149;0.0241224;0.0002709099999999992
